feature,importance,cumulative_importance,importance_pct
tvpi,0.5431507949910542,0.5431507949910542,54.31507949910542
dpi,0.1151675568241939,0.6583183518152481,11.51675568241939
fund_age_years,0.07294208716273366,0.7312604389779818,7.294208716273366
fund_size_mm,0.06766800059587011,0.7989284395738518,6.766800059587011
manager_track_record,0.05229628760777154,0.8512247271816233,5.229628760777154
vintage_year,0.05039492359524929,0.9016196507768727,5.039492359524929
sector_Healthcare,0.015338577310395122,0.9169582280872678,1.5338577310395123
sector_Industrials,0.014648807564106218,0.931607035651374,1.4648807564106219
sector_Consumer,0.013877092643665642,0.9454841282950397,1.3877092643665643
geography_Europe,0.013710174872905805,0.9591943031679455,1.3710174872905805
geography_North America,0.011186555547058432,0.9703808587150039,1.1186555547058432
geography_Asia,0.009290331211706915,0.9796711899267108,0.9290331211706915
sector_Technology,0.008351174902816986,0.9880223648295278,0.8351174902816986
sector_Financial Services,0.0066438218234299825,0.9946661866529577,0.6643821823429983
sector_Energy,0.005333813347042203,0.9999999999999999,0.5333813347042203
